Time,ccj,uec,spread,mvg_avg,mvg_std_dev,upper,lower,long_entry,long_exit,long_positions,short_entry,short_exit,short_positions,positions,percentage_change,strategy_returns,cumulative_returns
2020-09-30,9.936,0.9968,2.413491879313783,2.3016325472138726,0.08944052535274992,6.904897641641618,-2.3016325472138726,False,True,0.0,False,False,0.0,0.0,0.014165906904895324,0.0,1.924905603994897
2020-10-01,9.6901,1.0,2.143442575555561,2.2734458620627613,0.11483930398520757,6.820337586188284,-2.2734458620627613,False,False,0.0,False,True,0.0,0.0,-0.015667059476932123,-0.0,1.924905603994897
2020-10-02,9.5917,0.98,2.19597572404445,2.248552491760539,0.11559281415778136,6.745657475281617,-2.248552491760539,False,False,0.0,False,True,0.0,0.0,0.0030924728573033843,0.0,1.924905603994897
2020-10-05,9.7294,1.0,2.1827425755555616,2.220365806609428,0.10972892966799179,6.661097419828284,-2.220365806609428,False,False,0.0,False,True,0.0,0.0,-0.0007659819693678691,-0.0,1.924905603994897
2020-10-06,9.4539,0.9926,1.963087840496451,2.179748118993161,0.16059904746511333,6.539244356979483,-2.179748118993161,False,False,0.0,False,True,0.0,0.0,-0.01296302545546139,-0.0,1.924905603994897
2020-10-07,9.6015,1.07,1.52657655584445,2.0023650542992946,0.28188712430828194,6.007095162897883,-2.0023650542992946,False,False,0.0,False,True,0.0,0.0,-0.024694547855286134,-0.0,1.924905603994897
2020-10-08,9.5326,1.06,1.5331431300888951,1.8803051652059615,0.3330220217687131,5.640915495617884,-1.8803051652059615,False,False,0.0,False,True,0.0,0.0,0.00037454671138529525,0.0,1.924905603994897
2020-10-09,9.572,1.03,1.7989428528222273,1.800898590961517,0.28242679225089334,5.402695772884551,-1.800898590961517,False,False,0.0,False,True,0.0,0.0,0.015324234476597313,0.0,1.924905603994897
2020-10-12,9.4736,1.02,1.776009427066672,1.719551961263739,0.1876085306011613,5.1586558837912175,-1.719551961263739,False,True,0.0,False,False,0.0,0.0,-0.0013355757516141566,-0.0,1.924905603994897
2020-10-13,9.2867,1.01,1.6645760013111168,1.6598495934266722,0.12911100949338877,4.979548780280016,-1.6598495934266722,False,True,0.0,False,False,0.0,0.0,-0.00659025286230407,-0.0,1.924905603994897
2020-10-14,9.3457,1.02,1.6481094270666734,1.684156167671117,0.10735535884606813,5.052468503013351,-1.684156167671117,False,False,0.0,False,True,0.0,0.0,-0.0009661616795171116,-0.0,1.924905603994897
2020-10-15,9.1982,1.01,1.576076001311117,1.6927427419155614,0.09301670662600238,5.078228225746685,-1.6927427419155614,False,False,0.0,False,True,0.0,0.0,-0.004282523081075683,-0.0,1.924905603994897
2020-10-16,9.1096,0.992,1.6233158349511179,1.6576173383413395,0.07413010997393826,4.972852015024019,-1.6576173383413395,False,False,0.0,False,True,0.0,0.0,0.002846478872122309,0.0,1.924905603994897
2020-10-19,9.2277,0.9597,1.9851728697606728,1.6994500268801396,0.16317717606770737,5.098350080640419,-1.6994500268801396,False,True,0.0,False,False,0.0,0.0,0.02197037308278436,0.0,1.924905603994897
2020-10-20,9.4835,0.9674,2.1828636075924495,1.8031075481364063,0.2670464598859474,5.409322644409219,-1.8031075481364063,False,True,0.0,False,False,0.0,0.0,0.011778427749264707,0.0,1.924905603994897
2020-10-21,9.5031,0.96,2.2583088725333393,1.9251474372297395,0.3138353081229377,5.775442311689218,-1.9251474372297395,False,True,0.0,False,False,0.0,0.0,0.004504762084174234,0.0,1.924905603994897
2020-10-22,9.6409,0.9408,2.5410046950826732,2.1181331759840503,0.34102134110697063,6.35439952795215,-2.1181331759840503,False,True,0.0,False,False,0.0,0.0,0.016886642324949564,0.0,1.924905603994897
2020-10-23,9.5818,0.9403,2.485678023794894,2.2906056137528057,0.2273177982349251,6.871816841258417,-2.2906056137528057,False,True,0.0,False,False,0.0,0.0,-0.0033173600024460695,-0.0,1.924905603994897
2020-10-26,9.4343,0.9121,2.550993763164228,2.403769792433517,0.17115467868746553,7.211309377300552,-2.403769792433517,False,True,0.0,False,False,0.0,0.0,0.004002777026319485,0.0,1.924905603994897
2020-10-27,9.4343,0.9151,2.528353790890894,2.472867829093206,0.12249962547484775,7.4186034872796185,-2.472867829093206,False,True,0.0,False,False,0.0,0.0,-0.001385534341625325,-0.0,1.924905603994897
2020-10-28,9.2375,0.8211,3.040939588788672,2.629393972344272,0.2314046475787003,7.888181917032816,-2.629393972344272,False,True,0.0,False,False,0.0,0.0,0.03321133805627937,0.0,1.924905603994897
2020-10-29,9.4146,0.88,2.7735414664888944,2.6759013266255165,0.23256375975537888,8.027703979876549,-2.6759013266255165,False,True,0.0,False,False,0.0,0.0,-0.016654447510930086,-0.0,1.924905603994897
2020-10-30,9.3556,0.8626,2.845853305674228,2.747936383001383,0.2139492538627105,8.24380914900415,-2.747936383001383,False,True,0.0,False,False,0.0,0.0,0.004557848030588323,0.0,1.924905603994897
2020-11-02,9.3949,0.8577,2.9221319270540045,2.8221640157793386,0.1917720767173977,8.466492047338015,-2.8221640157793386,False,True,0.0,False,False,0.0,0.0,0.004807172738244357,0.0,1.924905603994897
2020-11-03,9.5622,0.8992,2.7762456439395615,2.871742386389072,0.11247232114597287,8.615227159167215,-2.871742386389072,False,False,0.0,False,True,0.0,0.0,-0.008923715786935993,-0.0,1.924905603994897
2020-11-04,8.9227,0.89,2.2061748922444506,2.704789447080228,0.28530074848247294,8.114368341240684,-2.704789447080228,False,False,0.0,False,True,0.0,0.0,-0.03645134255484376,-0.0,1.924905603994897
2020-11-05,9.0998,0.9129,2.210456437224672,2.592172441227383,0.35419323919381285,7.77651732368215,-2.592172441227383,False,False,0.0,False,True,0.0,0.0,0.00026777825612808644,0.0,1.924905603994897
2020-11-06,9.1687,0.9035,2.3502950170144494,2.4930607834954275,0.33423289284117647,7.479182350486282,-2.4930607834954275,False,False,0.0,False,True,0.0,0.0,0.008746960749841947,0.0,1.924905603994897
2020-11-09,9.3654,0.9203,2.420211172283783,2.3926766325413835,0.2332737862647271,7.178029897624151,-2.3926766325413835,False,True,0.0,False,False,0.0,0.0,0.004286550044749245,0.0,1.924905603994897
2020-11-10,9.4835,0.9917,1.9994798321784497,2.237323470189161,0.16161075883091694,6.711970410567483,-2.237323470189161,False,False,0.0,False,True,0.0,0.0,-0.02479627759059565,-0.0,1.924905603994897
2020-11-11,9.9655,1.07,1.8905765558444507,2.174203802909161,0.2257293048052965,6.5226114087274825,-2.174203802909161,False,False,0.0,False,True,0.0,0.0,-0.006036625286047803,-0.0,1.924905603994897
2020-11-12,9.4638,1.02,1.7662094270666735,2.0853544008775615,0.28700564115054955,6.256063202632685,-2.0853544008775615,False,False,0.0,False,True,0.0,0.0,-0.007246914418108232,-0.0,1.924905603994897
2020-11-13,9.4835,0.9919,1.9979705006935609,2.014889497613384,0.246020758870657,6.044668492840152,-2.014889497613384,False,False,0.0,False,True,0.0,0.0,0.013657886188267866,0.0,1.924905603994897
2020-11-16,9.4146,1.01,1.7924760013111172,1.8893424634188505,0.11008709005344432,5.668027390256551,-1.8893424634188505,False,False,0.0,False,True,0.0,0.0,-0.012061855283812673,-0.0,1.924905603994897
2020-11-17,9.4835,0.96,2.238708872533339,1.9371882714898283,0.19167499227610554,5.8115648144694845,-1.9371882714898283,False,True,0.0,False,False,0.0,0.0,0.026675341062754408,0.0,1.924905603994897
2020-11-18,9.5228,0.96,2.2780088725333396,2.0146747348276057,0.2402719712708139,6.044024204482817,-2.0146747348276057,False,True,0.0,False,False,0.0,0.0,0.0023438071516202605,0.0,1.924905603994897
2020-11-19,9.7097,0.9568,2.489058176291561,2.159244484672583,0.2691305715803692,6.477733454017749,-2.159244484672583,False,True,0.0,False,False,0.0,0.0,0.01246574380811839,0.0,1.924905603994897
2020-11-20,9.7884,0.98,2.39267572404445,2.2381855293427613,0.2678840519585056,6.714556588028284,-2.2381855293427613,False,True,0.0,False,False,0.0,0.0,-0.005608807914754887,-0.0,1.924905603994897
2020-11-23,9.7589,0.985,2.325442436922229,2.3447788164649834,0.09898686960825605,7.03433644939495,-2.3447788164649834,False,False,0.0,False,True,0.0,0.0,-0.003910649652064641,-0.0,1.924905603994897
2020-11-24,10.1721,1.03,2.3990428528222285,2.3768456125227617,0.08022773368422877,7.130536837568285,-2.3768456125227617,False,True,0.0,False,False,0.0,0.0,0.004101408268334656,0.0,1.924905603994897
2020-11-25,9.9852,1.11,1.608410258866673,2.2429258897894284,0.35944321105718025,6.728777669368285,-2.2429258897894284,False,False,0.0,False,True,0.0,0.0,-0.04305811108174361,-0.0,1.924905603994897
2020-11-27,10.0248,1.07,1.949876555844451,2.1350895657000066,0.34783298204800056,6.40526869710002,-2.1350895657000066,False,False,0.0,False,True,0.0,0.0,0.0188658295266958,0.0,1.924905603994897
2020-11-30,9.9159,1.06,1.9164431300888953,2.039843046908895,0.32405526987201033,6.1195291407266845,-2.039843046908895,False,False,0.0,False,True,0.0,0.0,-0.0018661880976374675,-0.0,1.924905603994897
2020-12-01,9.8169,1.05,1.8929097043333396,1.9533365003911176,0.2840126556861334,5.860009501173353,-1.9533365003911176,False,False,0.0,False,True,0.0,0.0,-0.0013265075970456757,-0.0,1.924905603994897
2020-12-02,10.0841,1.08,1.9337099816000052,1.8602699261466729,0.14236999841433282,5.580809778440019,-1.8602699261466729,False,True,0.0,False,False,0.0,0.0,0.0022375332255245403,0.0,1.924905603994897
2020-12-03,9.9852,1.1,1.6838768331111176,1.8753632409955618,0.1091089550593901,5.626089722986686,-1.8753632409955618,False,False,0.0,False,True,0.0,0.0,-0.013662145953543346,-0.0,1.924905603994897
2020-12-04,10.955,1.21,1.8235445164222295,1.8500968331111174,0.10193140534978602,5.550290499333352,-1.8500968331111174,False,False,0.0,False,True,0.0,0.0,0.006953326505281183,0.0,1.924905603994897
2020-12-07,12.0238,1.43,1.2320798830444524,1.7132241837022288,0.28523348078912725,5.1396725511066865,-1.7132241837022288,False,False,0.0,False,True,0.0,0.0,-0.025923784789732895,-0.0,1.924905603994897
2020-12-08,12.0238,1.48,0.85474701182223,1.5055916452000069,0.4512683146816729,4.51677493560002,-1.5055916452000069,False,False,0.0,False,True,0.0,0.0,-0.016269359850405746,-0.0,1.924905603994897
2020-12-09,11.4399,1.39,0.9500461800222304,1.308858884884452,0.431971910647368,3.9265766546533563,-1.308858884884452,False,False,0.0,False,True,0.0,0.0,0.004345656088176598,0.0,1.924905603994897
2020-12-10,12.3306,1.49,1.0860804375777864,1.1892996057777858,0.38207283184723184,3.5678988173333575,-1.1892996057777858,False,False,0.0,False,True,0.0,0.0,0.005770246772041363,0.0,1.924905603994897
2020-12-11,13.1915,1.5,1.8715138633333428,1.1988934751600084,0.40205971889389086,3.5966804254800255,-1.1988934751600084,False,True,0.0,False,False,0.0,0.0,0.03204348448626414,0.0,1.924905603994897
2020-12-14,13.142,1.6,1.067348120888898,1.1659471227288976,0.4053959799065608,3.497841368186693,-1.1659471227288976,False,False,0.0,False,True,0.0,0.0,-0.0318902662534116,-0.0,1.924905603994897
2020-12-15,13.7952,1.8,0.21121663600001028,1.0372410475644536,0.5893263371082443,3.1117231426933607,-1.0372410475644536,False,False,0.0,False,True,0.0,0.0,-0.03126943099459232,-0.0,1.924905603994897
2020-12-16,13.3499,1.71,0.44511580420001096,0.9362549724000097,0.6483133016635901,2.808764917200029,-0.9362549724000097,False,False,0.0,False,True,0.0,0.0,0.00890885475733195,0.0,1.924905603994897
2020-12-17,12.9936,1.84,-0.8922496609777664,0.5405889526888992,1.0270667063236294,1.6217668580666975,-0.5405889526888992,True,False,1.0,False,True,0.0,1.0,-0.04975419817167229,-0.0,1.924905603994897
2020-12-18,13.2113,1.81,-0.44814993824443405,0.07665619237334376,0.7664103866653256,0.22996857712003127,-0.07665619237334376,True,False,1.0,False,True,0.0,1.0,0.016527254496208045,0.016527254496208045,1.9567190087932977
2020-12-21,13.1025,1.72,0.12224922995556575,-0.11236358581332269,0.5457804889045133,-0.3370907574399681,0.11236358581332269,False,True,0.0,True,False,-1.0,-1.0,0.021868827150512547,0.021868827150512547,1.9995101585787205
2020-12-22,13.0134,1.64,0.6368818239111231,-0.027230548231100115,0.6348093654554697,-0.08169164469330034,0.027230548231100115,False,True,0.0,True,False,-1.0,-1.0,0.02026917103026413,-0.02026917103026413,1.9589817451977378
2020-12-23,13.4191,1.75,0.21244950722223344,-0.07376380762665562,0.5990493412602111,-0.22129142287996684,0.07376380762665562,False,True,0.0,True,False,-1.0,-1.0,-0.015940670547634588,0.015940670547634588,1.9902092278067651
2020-12-24,13.3894,1.76,0.1072829329777889,0.12614271116445544,0.38680944983572507,0.37842813349336635,-0.12614271116445544,False,False,0.0,False,True,0.0,0.0,-0.003943029336508081,0.003943029336508081,1.9980566811777964
2020-12-28,13.5082,1.89,-0.7549825321999872,0.0647761923733448,0.5065142152780939,0.19432857712003437,-0.0647761923733448,True,False,1.0,False,True,0.0,1.0,-0.031048705053772826,-0.0,1.9980566811777964
2020-12-29,13.3598,1.83,-0.4505830867333227,-0.04979027096443289,0.5529220706887449,-0.14937081289329868,0.04979027096443289,True,False,1.0,False,True,0.0,1.0,0.011203437403971594,0.011203437403971594,2.020441784134959
2020-12-30,13.2509,1.85,-0.7104162352222119,-0.3192498827910999,0.4540806513607361,-0.9577496483732997,0.3192498827910999,True,False,1.0,True,True,0.0,1.0,-0.009548400844785783,-0.009548400844785783,2.001149796096484
2020-12-31,13.2608,1.76,-0.02131706702221159,-0.3660031976399889,0.39366461324501606,-1.0980095929199667,0.3660031976399889,True,True,0.0,True,False,-1.0,-1.0,0.02596169691748612,0.02596169691748612,2.05310304058923
2021-01-04,13.2509,1.8,-0.3330833639999895,-0.45407645703554456,0.2992435336788185,-1.3622293711066336,0.45407645703554456,True,True,0.0,True,False,-1.0,-1.0,-0.011617948650972123,0.011617948650972123,2.0769558862899506
2021-01-05,14.4186,1.84,0.5327503390222326,-0.19652988279110062,0.4769219641660179,-0.5895896483733019,0.19652988279110062,False,True,0.0,True,False,-1.0,-1.0,0.030590020770335378,-0.030590020770335378,2.013421762589271
2021-01-06,14.2702,1.94,-0.37031540342220914,-0.18047634612887792,0.4674901165176598,-0.5414290383866338,0.18047634612887792,True,False,1.0,True,True,0.0,1.0,-0.031236367894844425,0.031236367894844425,2.0763137454929956
2021-01-07,14.5275,2.07,-1.0940808685999865,-0.25720927280443284,0.5913089850943428,-0.7716278184132985,0.25720927280443284,True,False,1.0,False,True,0.0,1.0,-0.024006219902099005,-0.024006219902099005,2.02646930113294
2021-01-08,14.1613,2.01,-1.007481423133319,-0.4544421440266543,0.6540918136566778,-1.3633264320799627,0.4544421440266543,True,False,1.0,True,True,0.0,1.0,0.002952581147571061,0.002952581147571061,2.0324526161875967
2021-01-11,14.0426,1.93,-0.5224488291777654,-0.4923152370622095,0.6507821261040463,-1.4769457111866284,0.4923152370622095,True,False,1.0,True,True,0.0,1.0,0.016954647229200284,0.016954647229200284,2.066912133305123
2021-01-12,13.627,1.71,0.7222158042000117,-0.45442214402665365,0.7265012534475028,-1.363266432079961,0.45442214402665365,False,True,0.0,True,False,-1.0,-1.0,0.046912210056902576,0.046912210056902576,2.1638755494718933
2021-01-13,13.5379,1.77,0.18031635873334473,-0.34429579159554285,0.7820479909531074,-1.0328873747866285,0.34429579159554285,True,True,0.0,True,False,-1.0,-1.0,-0.020148343591606294,0.020148343591606294,2.2074740575321288
2021-01-14,13.6962,1.85,-0.2651162352222123,-0.178502864919988,0.6620142574721967,-0.535508594759964,0.178502864919988,True,False,1.0,True,True,0.0,1.0,-0.01610529991801262,0.01610529991801262,2.2430260892899163
2021-01-15,12.8254,1.7,-0.003917621555544315,0.022209895395566902,0.47299524438454416,0.0666296861867007,-0.022209895395566902,False,False,1.0,False,True,0.0,1.0,0.0101813092437706,0.0101813092437706,2.2658630315468224
2021-01-19,12.7858,1.64,0.40928182391112244,0.20855602601334447,0.3789608008921874,0.6256680780400334,-0.20855602601334447,False,True,0.0,False,False,0.0,0.0,0.016421358420756316,0.016421358420756316,2.3030715805201947
